zip_code,msa_name,per_low_income,at_risk
94710,"San Francisco-Oakland-Fremont, CA MSA",32.1,True
94720,"San Francisco-Oakland-Fremont, CA MSA",76.19999999999999,True
94801,"San Francisco-Oakland-Fremont, CA MSA",32.1,True
94803,"San Francisco-Oakland-Fremont, CA MSA",13.0,False
94804,"San Francisco-Oakland-Fremont, CA MSA",25.3,True
94805,"San Francisco-Oakland-Fremont, CA MSA",17.5,True
94806,"San Francisco-Oakland-Fremont, CA MSA",22.200000000000003,True
94901,"San Francisco-Oakland-Fremont, CA MSA",16.0,True
94903,"San Francisco-Oakland-Fremont, CA MSA",14.100000000000001,True
94904,"San Francisco-Oakland-Fremont, CA MSA",9.5,False
94920,"San Francisco-Oakland-Fremont, CA MSA",13.2,False
94924,"San Francisco-Oakland-Fremont, CA MSA",14.3,True
94925,"San Francisco-Oakland-Fremont, CA MSA",8.7,False
94929,"San Francisco-Oakland-Fremont, CA MSA",9.0,False
94930,"San Francisco-Oakland-Fremont, CA MSA",14.6,True
94933,"San Francisco-Oakland-Fremont, CA MSA",6.0,False
94937,"San Francisco-Oakland-Fremont, CA MSA",18.9,True
94938,"San Francisco-Oakland-Fremont, CA MSA",10.5,False
94939,"San Francisco-Oakland-Fremont, CA MSA",7.7,False
94940,"San Francisco-Oakland-Fremont, CA MSA",43.5,True
94941,"San Francisco-Oakland-Fremont, CA MSA",11.1,False
94945,"San Francisco-Oakland-Fremont, CA MSA",13.7,True
94946,"San Francisco-Oakland-Fremont, CA MSA",8.200000000000001,False
94947,"San Francisco-Oakland-Fremont, CA MSA",13.0,False
94949,"San Francisco-Oakland-Fremont, CA MSA",14.600000000000001,True
94956,"San Francisco-Oakland-Fremont, CA MSA",17.4,True
94957,"San Francisco-Oakland-Fremont, CA MSA",5.6,False
94960,"San Francisco-Oakland-Fremont, CA MSA",12.3,False
94963,"San Francisco-Oakland-Fremont, CA MSA",20.3,True
94964,"San Francisco-Oakland-Fremont, CA MSA",0.0,False
94965,"San Francisco-Oakland-Fremont, CA MSA",15.7,True
94970,"San Francisco-Oakland-Fremont, CA MSA",7.8999999999999995,False
94971,"San Francisco-Oakland-Fremont, CA MSA",0.0,False
94973,"San Francisco-Oakland-Fremont, CA MSA",5.1,False
93202,"Hanford-Corcoran, CA MSA",20.6,False
93204,"Hanford-Corcoran, CA MSA",44.0,True
93212,"Hanford-Corcoran, CA MSA",37.5,True
93230,"Hanford-Corcoran, CA MSA",19.8,False
93239,"Hanford-Corcoran, CA MSA",25.599999999999998,True
93245,"Hanford-Corcoran, CA MSA",19.3,False
93266,"Hanford-Corcoran, CA MSA",22.9,False
93601,"Madera, CA MSA",21.0,False
93604,"Madera, CA MSA",3.3,False
93610,"Madera, CA MSA",27.299999999999997,True
93614,"Madera, CA MSA",17.9,False
93636,"Madera, CA MSA",9.1,False
93637,"Madera, CA MSA",22.4,False
93638,"Madera, CA MSA",31.5,True
93643,"Madera, CA MSA",24.2,True
93644,"Madera, CA MSA",22.4,False
93645,"Madera, CA MSA",7.6,False
93653,"Madera, CA MSA",24.0,True
50001,"Des Moines-West Des Moines, IA MSA",18.0,True
50003,"Des Moines-West Des Moines, IA MSA",22.4,True
50007,"Des Moines-West Des Moines, IA MSA",10.5,False
50009,"Des Moines-West Des Moines, IA MSA",14.5,False
50021,"Des Moines-West Des Moines, IA MSA",12.7,False
50023,"Des Moines-West Des Moines, IA MSA",9.100000000000001,False
